Individual,Fitness,Tree
0,0.06337874702075047,F.DX(F.DX(G))
1,0.027973854663038717,"F.Img_Multi(F.Filter_Gaussian(B), F.Img_Multi(I, B))"
2,0.06546366238268554,F.DY(F.DX(G))
3,0.06456230313063593,"F.Img_Multi(F.Filter_Gaussian(B), F.DY(B))"
4,0.06679007654761931,"F.Img_Multi(F.Img_Sum(G, B), F.DX(G))"
5,0.06520245255713056,"F.DY(F.Img_Multi(G, B))"
6,0.05160032222027868,"F.Img_Div(F.Img_Sub(B, I), F.Img_Multi(G, R))"
7,0.06525093870028381,F.DY(F.DX(B))
8,0.07300235619636394,"F.DX(F.Img_Div(B, I))"
9,0.06621276572053408,"F.Img_Multi(F.Img_Div(I, I), F.DY(R))"
10,0.06527853753919018,F.DX(F.DY(B))
11,0.08623484711366712,"F.Img_Sub(F.DY(B), F.Img_Multi(B, G))"
12,0.06247705595709443,"F.Img_Multi(F.Img_Multi(R, G), F.Img_Multi(I, I))"
13,0.06197940910350802,F.Filter_Gaussian(F.Filter_Gaussian(G))
14,0.06564813795704415,"F.Img_Sum(F.Img_Sum(B, I), F.Img_Sum(R, I))"
15,0.06579948247216287,"F.Img_Sum(F.DY(I), F.DY(B))"
16,0.06772771228008692,"F.Img_Multi(F.Img_Div(G, B), F.DX(I))"
17,0.06952377293604625,"F.DY(F.Img_Sub(I, G))"
18,0.06500026121354552,F.DX(F.DX(B))
19,0.06411684544879062,"F.Img_Sum(F.Filter_Gaussian(G), F.Img_Div(G, I))"
